------------------------------------------------------------
./prime N=[1000...1000000] by 10x

  Primes | Time (ms) | N
  ------ | --------- | -------
     168 |  0.037462 | 1000   
    1229 |  0.152862 | 10000  
    9592 |  3.346580 | 100000 
   78498 |  5.953900 | 1000000
------------------------------------------------------------
------------------------------------------------------------
./prime-omp N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.090072 | 1000    | 1  
     168 |  0.309735 | 1000    | 2  
     168 |  0.378692 | 1000    | 4  
     168 |  0.670433 | 1000    | 8  
     168 |  2.491990 | 1000    | 16 
     168 |  9.093110 | 1000    | 32 
     168 |  5.406700 | 1000    | 64 
     168 |  6.331100 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.170104 | 10000   | 1  
    1229 |  0.499051 | 10000   | 2  
    1229 |  0.542099 | 10000   | 4  
    1229 |  0.925253 | 10000   | 8  
    1229 |  2.365100 | 10000   | 16 
    1229 |  9.775850 | 10000   | 32 
    1229 |  1.714300 | 10000   | 64 
    1229 |  8.290800 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  1.466280 | 100000  | 1  
    9592 |  1.916840 | 100000  | 2  
    9592 |  1.419830 | 100000  | 4  
    9592 |  1.525690 | 100000  | 8  
    9592 |  2.860710 | 100000  | 16 
    9592 |  2.865000 | 100000  | 32 
    9592 |  3.741400 | 100000  | 64 
    9592 |  7.349200 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  5.437300 | 1000000 | 1  
   78498 |  7.230100 | 1000000 | 2  
   78498 |  9.873660 | 1000000 | 4  
   78498 |  7.399840 | 1000000 | 8  
   78498 |  7.311710 | 1000000 | 16 
   78498 |  2.341700 | 1000000 | 32 
   78498 |  9.325700 | 1000000 | 64 
   78498 |  9.530000 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-omp2 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.055430 | 1000    | 1  
     168 |  0.243644 | 1000    | 2  
     168 |  0.540663 | 1000    | 4  
     168 |  1.118320 | 1000    | 8  
     168 |  4.911360 | 1000    | 16 
     168 |  2.887690 | 1000    | 32 
     168 |  6.755000 | 1000    | 64 
     168 |  8.982680 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.344724 | 10000   | 1  
    1229 |  0.419705 | 10000   | 2  
    1229 |  0.800466 | 10000   | 4  
    1229 |  1.371680 | 10000   | 8  
    1229 |  1.774000 | 10000   | 16 
    1229 |  3.790700 | 10000   | 32 
    1229 |  5.699760 | 10000   | 64 
    1229 |  0.193900 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  2.584870 | 100000  | 1  
    9592 |  1.916270 | 100000  | 2  
    9592 |  2.171290 | 100000  | 4  
    9592 |  2.807340 | 100000  | 8  
    9592 |  0.688600 | 100000  | 16 
    9592 |  4.964850 | 100000  | 32 
    9592 |  9.818460 | 100000  | 64 
    9592 |  4.013100 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  8.698300 | 1000000 | 1  
   78498 |  2.782300 | 1000000 | 2  
   78498 |  1.715900 | 1000000 | 4  
   78498 |  2.697100 | 1000000 | 8  
   78498 |  9.792000 | 1000000 | 16 
   78498 |  8.231800 | 1000000 | 32 
   78498 |  5.189800 | 1000000 | 64 
   78498 |  5.528500 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-par1 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.575141 | 1000    | 1  
     168 |  0.513196 | 1000    | 2  
     168 |  0.565858 | 1000    | 4  
     168 |  0.848614 | 1000    | 8  
     168 |  2.223590 | 1000    | 16 
     168 |  2.996760 | 1000    | 32 
     168 |  7.669330 | 1000    | 64 
     168 |  9.522760 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.894048 | 10000   | 1  
    1229 |  0.684337 | 10000   | 2  
    1229 |  0.824353 | 10000   | 4  
    1229 |  1.250960 | 10000   | 8  
    1229 |  2.005150 | 10000   | 16 
    1229 |  3.509350 | 10000   | 32 
    1229 |  6.454200 | 10000   | 64 
    1229 |  3.858800 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  4.343960 | 100000  | 1  
    9592 |  3.709050 | 100000  | 2  
    9592 |  2.968530 | 100000  | 4  
    9592 |  3.188280 | 100000  | 8  
    9592 |  3.504560 | 100000  | 16 
    9592 |  3.702480 | 100000  | 32 
    9592 |  5.174490 | 100000  | 64 
    9592 |  9.500820 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  3.164000 | 1000000 | 1  
   78498 |  0.799000 | 1000000 | 2  
   78498 |  7.907800 | 1000000 | 4  
   78498 |  8.497200 | 1000000 | 8  
   78498 |  8.389000 | 1000000 | 16 
   78498 |  1.799900 | 1000000 | 32 
   78498 |  8.084900 | 1000000 | 64 
   78498 |  0.260600 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-par2 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.594296 | 1000    | 1  
     168 |  0.478606 | 1000    | 2  
     168 |  0.867520 | 1000    | 4  
     168 |  2.757270 | 1000    | 8  
     168 |  4.770740 | 1000    | 16 
     168 |  0.810200 | 1000    | 32 
     168 |  6.536000 | 1000    | 64 
     168 |  7.713400 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.391572 | 10000   | 1  
    1229 |  0.643954 | 10000   | 2  
    1229 |  1.027770 | 10000   | 4  
    1229 |  7.097630 | 10000   | 8  
    1229 |  3.438600 | 10000   | 16 
    1229 |  4.534000 | 10000   | 32 
    1229 |  2.190200 | 10000   | 64 
    1229 |  4.215100 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  2.175980 | 100000  | 1  
    9592 |  2.655040 | 100000  | 2  
    9592 |  3.288730 | 100000  | 4  
    9592 |  3.996660 | 100000  | 8  
    9592 |  8.837500 | 100000  | 16 
    9592 |  4.116300 | 100000  | 32 
    9592 |  8.954100 | 100000  | 64 
    9592 |  7.355000 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  6.594100 | 1000000 | 1  
   78498 |  0.081200 | 1000000 | 2  
   78498 |  2.114200 | 1000000 | 4  
   78498 |  0.698100 | 1000000 | 8  
   78498 |  6.343800 | 1000000 | 16 
   78498 |  9.559000 | 1000000 | 32 
   78498 |  9.362000 | 1000000 | 64 
   78498 |  9.138000 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-par3 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.562722 | 1000    | 1  
     168 |  0.528167 | 1000    | 2  
     168 |  0.804034 | 1000    | 4  
     168 |  1.388720 | 1000    | 8  
     168 |  2.407650 | 1000    | 16 
     168 |  4.141850 | 1000    | 32 
     168 |  9.112480 | 1000    | 64 
     168 |  4.618900 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.703285 | 10000   | 1  
    1229 |  0.688801 | 10000   | 2  
    1229 |  0.673300 | 10000   | 4  
    1229 |  1.542690 | 10000   | 8  
    1229 |  3.282250 | 10000   | 16 
    1229 |  4.538400 | 10000   | 32 
    1229 |  7.546770 | 10000   | 64 
    1229 |  4.069300 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  3.734330 | 100000  | 1  
    9592 |  3.185860 | 100000  | 2  
    9592 |  3.463900 | 100000  | 4  
    9592 |  3.070830 | 100000  | 8  
    9592 |  6.126560 | 100000  | 16 
    9592 |  7.802570 | 100000  | 32 
    9592 |  7.212490 | 100000  | 64 
    9592 |  8.272900 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  2.021400 | 1000000 | 1  
   78498 |  9.239600 | 1000000 | 2  
   78498 |  1.606500 | 1000000 | 4  
   78498 |  4.159300 | 1000000 | 8  
   78498 |  5.435800 | 1000000 | 16 
   78498 |  9.581900 | 1000000 | 32 
   78498 |  7.515700 | 1000000 | 64 
   78498 |  7.883700 | 1000000 | 128
------------------------------------------------------------
