------------------------------------------------------------
./prime N=[1000...1000000] by 10x

  Primes | Time (ms) | N
  ------ | --------- | -------
     168 |  0.060408 | 1000   
    1229 |  0.142813 | 10000  
    9592 |  2.042060 | 100000 
   78498 |  0.660800 | 1000000
------------------------------------------------------------
------------------------------------------------------------
./prime-omp N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.088136 | 1000    | 1  
     168 |  0.399499 | 1000    | 2  
     168 |  0.505086 | 1000    | 4  
     168 |  0.660483 | 1000    | 8  
     168 |  5.268160 | 1000    | 16 
     168 |  6.284460 | 1000    | 32 
     168 |  3.662200 | 1000    | 64 
     168 |  6.656200 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.397206 | 10000   | 1  
    1229 |  0.517048 | 10000   | 2  
    1229 |  0.727457 | 10000   | 4  
    1229 |  1.073010 | 10000   | 8  
    1229 |  7.543300 | 10000   | 16 
    1229 |  9.598130 | 10000   | 32 
    1229 |  0.082600 | 10000   | 64 
    1229 |  9.513200 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  3.354450 | 100000  | 1  
    9592 |  2.337980 | 100000  | 2  
    9592 |  1.928090 | 100000  | 4  
    9592 |  1.622600 | 100000  | 8  
    9592 |  5.830400 | 100000  | 16 
    9592 |  0.597400 | 100000  | 32 
    9592 |  5.641300 | 100000  | 64 
    9592 |  8.050000 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  7.156200 | 1000000 | 1  
   78498 |  4.547900 | 1000000 | 2  
   78498 |  1.333800 | 1000000 | 4  
   78498 |  7.777950 | 1000000 | 8  
   78498 |  6.228820 | 1000000 | 16 
   78498 |  3.241700 | 1000000 | 32 
   78498 |  5.183000 | 1000000 | 64 
   78498 |  4.282000 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-omp2 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.083590 | 1000    | 1  
     168 |  0.277303 | 1000    | 2  
     168 |  0.628699 | 1000    | 4  
     168 |  1.057960 | 1000    | 8  
     168 |  0.552700 | 1000    | 16 
     168 |  4.132900 | 1000    | 32 
     168 |  5.673510 | 1000    | 64 
     168 |  9.690350 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.278140 | 10000   | 1  
    1229 |  0.581936 | 10000   | 2  
    1229 |  0.746175 | 10000   | 4  
    1229 |  1.560820 | 10000   | 8  
    1229 |  5.074400 | 10000   | 16 
    1229 |  2.803540 | 10000   | 32 
    1229 |  5.983950 | 10000   | 64 
    1229 |  0.139700 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  2.393100 | 100000  | 1  
    9592 |  2.910190 | 100000  | 2  
    9592 |  3.029970 | 100000  | 4  
    9592 |  3.919600 | 100000  | 8  
    9592 |  3.527180 | 100000  | 16 
    9592 |  6.269230 | 100000  | 32 
    9592 |  7.628850 | 100000  | 64 
    9592 |  2.895300 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  7.515100 | 1000000 | 1  
   78498 |  7.309900 | 1000000 | 2  
   78498 |  6.239100 | 1000000 | 4  
   78498 |  5.744000 | 1000000 | 8  
   78498 |  6.481300 | 1000000 | 16 
   78498 |  4.263800 | 1000000 | 32 
   78498 |  4.635700 | 1000000 | 64 
   78498 |  3.338300 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-par1 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.483507 | 1000    | 1  
     168 |  0.534783 | 1000    | 2  
     168 |  0.727452 | 1000    | 4  
     168 |  1.016290 | 1000    | 8  
     168 |  2.338110 | 1000    | 16 
     168 |  3.804850 | 1000    | 32 
     168 |  5.540540 | 1000    | 64 
     168 |  9.892880 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.710245 | 10000   | 1  
    1229 |  0.795116 | 10000   | 2  
    1229 |  0.968188 | 10000   | 4  
    1229 |  2.533070 | 10000   | 8  
    1229 |  1.792430 | 10000   | 16 
    1229 |  2.941230 | 10000   | 32 
    1229 |  6.259090 | 10000   | 64 
    1229 |  1.662500 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  2.102520 | 100000  | 1  
    9592 |  3.076760 | 100000  | 2  
    9592 |  3.646300 | 100000  | 4  
    9592 |  3.227660 | 100000  | 8  
    9592 |  3.619880 | 100000  | 16 
    9592 |  4.375490 | 100000  | 32 
    9592 |  5.806400 | 100000  | 64 
    9592 |  9.499400 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  6.029700 | 1000000 | 1  
   78498 |  0.023200 | 1000000 | 2  
   78498 |  6.719300 | 1000000 | 4  
   78498 |  7.108200 | 1000000 | 8  
   78498 |  6.451500 | 1000000 | 16 
   78498 |  6.535400 | 1000000 | 32 
   78498 |  8.158100 | 1000000 | 64 
   78498 |  7.605300 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-par2 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.312943 | 1000    | 1  
     168 |  0.412165 | 1000    | 2  
     168 |  1.014560 | 1000    | 4  
     168 |  3.500040 | 1000    | 8  
     168 |  4.606400 | 1000    | 16 
     168 |  0.213900 | 1000    | 32 
     168 |  5.143900 | 1000    | 64 
     168 |  4.237300 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.450960 | 10000   | 1  
    1229 |  0.930309 | 10000   | 2  
    1229 |  0.863905 | 10000   | 4  
    1229 |  1.536320 | 10000   | 8  
    1229 |  9.585500 | 10000   | 16 
    1229 |  4.379500 | 10000   | 32 
    1229 |  1.902000 | 10000   | 64 
    1229 |  7.381200 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  3.890920 | 100000  | 1  
    9592 |  3.437180 | 100000  | 2  
    9592 |  3.129350 | 100000  | 4  
    9592 |  4.983290 | 100000  | 8  
    9592 |  0.670500 | 100000  | 16 
    9592 |  8.377000 | 100000  | 32 
    9592 |  1.459400 | 100000  | 64 
    9592 |  8.421000 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  1.479000 | 1000000 | 1  
   78498 |  6.748900 | 1000000 | 2  
   78498 |  0.376600 | 1000000 | 4  
   78498 |  7.636200 | 1000000 | 8  
   78498 |  0.322600 | 1000000 | 16 
   78498 |  4.382000 | 1000000 | 32 
   78498 |  2.012000 | 1000000 | 64 
   78498 |  6.915000 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-par3 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.523024 | 1000    | 1  
     168 |  0.453647 | 1000    | 2  
     168 |  0.607367 | 1000    | 4  
     168 |  1.679150 | 1000    | 8  
     168 |  2.370210 | 1000    | 16 
     168 |  4.277800 | 1000    | 32 
     168 |  8.842650 | 1000    | 64 
     168 |  4.356100 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.810581 | 10000   | 1  
    1229 |  0.781926 | 10000   | 2  
    1229 |  0.944028 | 10000   | 4  
    1229 |  1.406500 | 10000   | 8  
    1229 |  2.989660 | 10000   | 16 
    1229 |  3.721420 | 10000   | 32 
    1229 |  6.529180 | 10000   | 64 
    1229 |  6.289200 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  3.679890 | 100000  | 1  
    9592 |  3.278650 | 100000  | 2  
    9592 |  3.116300 | 100000  | 4  
    9592 |  3.941030 | 100000  | 8  
    9592 |  4.652950 | 100000  | 16 
    9592 |  7.120370 | 100000  | 32 
